"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401677076","2024","1","postseason","2024-12-14T17:00:00.000Z","false","false","true","false","","5348","Mercedes-Benz Stadium","2569","South Carolina State","MEAC","fcs","","","","","","2296","Jackson State","SWAC","fcs","","","","","","","","Cricket Celebration Bowl"
"401677077","2024","1","postseason","2024-12-15T02:00:00.000Z","false","false","true","false","","3689","Cramton Bowl","2711","Western Michigan","Mid-American","fbs","","","","","","6","South Alabama","Sun Belt","fbs","","","","","","","","IS4S Salute to Veterans Bowl"
"401677080","2024","1","postseason","2024-12-18T02:00:00.000Z","false","false","true","false","","1400","Toyota Stadium","277","West Virginia","Big 12","fbs","","","","","","235","Memphis","American Athletic","fbs","","","","","","","","Scooter's Coffee Frisco Bowl"
"401677079","2024","1","postseason","2024-12-18T22:30:00.000Z","false","false","true","false","","3715","FAU Stadium","256","James Madison","Sun Belt","fbs","","","","","","98","Western Kentucky","Conference USA","fbs","","","","","","","","Boca Raton Bowl"
"401677081","2024","1","postseason","2024-12-19T02:00:00.000Z","false","false","true","false","","7065","SoFi Stadium","2439","UNLV","Mountain West","fbs","","","","","","25","California","ACC","fbs","","","","","","","","Art of Sport LA Bowl"
"401677082","2024","1","postseason","2024-12-20T00:00:00.000Z","false","false","true","false","","3493","Caesars Superdome","2534","Sam Houston","Conference USA","fbs","","","","","","290","Georgia Southern","Sun Belt","fbs","","","","","","","","R+L Carriers New Orleans Bowl"
"401677083","2024","1","postseason","2024-12-20T17:00:00.000Z","false","false","true","false","","4013","Camping World Stadium","55","Jacksonville State","Conference USA","fbs","","","","","","195","Ohio","Mid-American","fbs","","","","","","","","StaffDNA Cure Bowl"
"401677084","2024","1","postseason","2024-12-20T20:30:00.000Z","false","false","true","false","","3886","Raymond James Stadium","57","Florida","SEC","fbs","","","","","","2655","Tulane","American Athletic","fbs","","","","","","","","Union Home Mortgage Gasparilla Bowl"
"401677179","2024","1","postseason","2024-12-21T01:00:00.000Z","false","false","false","false","","3855","Notre Dame Stadium","87","Notre Dame","FBS Independents","fbs","","","","","","84","Indiana","Big Ten","fbs","","","","","","","","College Football Playoff First Round Game Presented by Allstate"
"401677178","2024","1","postseason","2024-12-21T17:00:00.000Z","false","false","false","false","","3632","Beaver Stadium","213","Penn State","Big Ten","fbs","","","","","","2567","SMU","ACC","fbs","","","","","","","","College Football Playoff First Round Game Presented by Allstate"
"401677176","2024","1","postseason","2024-12-21T21:00:00.000Z","false","false","false","false","","3910","DKR-Texas Memorial Stadium","251","Texas","SEC","fbs","","","","","","228","Clemson","ACC","fbs","","","","","","","","College Football Playoff First Round Game Presented by Allstate"
"401677177","2024","1","postseason","2024-12-22T01:00:00.000Z","false","false","false","false","","3861","Ohio Stadium","194","Ohio State","Big Ten","fbs","","","","","","2633","Tennessee","SEC","fbs","","","","","","","","College Football Playoff First Round Game Presented by Allstate"
"401677085","2024","1","postseason","2024-12-23T16:00:00.000Z","false","false","false","false","","3654","Brooks Stadium (SC)","2636","UTSA","American Athletic","fbs","","","","","","324","Coastal Carolina","Sun Belt","fbs","","","","","","","","Myrtle Beach Bowl"
"401677086","2024","1","postseason","2024-12-23T19:30:00.000Z","false","false","true","false","","3653","Albertsons Stadium","278","Fresno State","Mountain West","fbs","","","","","","2459","Northern Illinois","Mid-American","fbs","","","","","","","","Famous Idaho Potato Bowl"
"401677087","2024","1","postseason","2024-12-25T01:00:00.000Z","false","false","true","false","","7220","Clarence T.C. Ching Athletics Complex","23","San José State","Mountain West","fbs","","","","","","58","South Florida","American Athletic","fbs","","","","","","","","Hawaiʻi Bowl"
"401677180","2024","1","postseason","2024-12-26T19:00:00.000Z","false","false","true","false","","3727","Ford Field","2649","Toledo","Mid-American","fbs","","","","","","221","Pittsburgh","ACC","fbs","","","","","","","","GameAbove Sports Bowl"
"401677088","2024","1","postseason","2024-12-26T22:30:00.000Z","false","false","true","false","","4251","Chase Field","2306","Kansas State","Big 12","fbs","","","","","","164","Rutgers","Big Ten","fbs","","","","","","","","Rate Bowl"
"401677089","2024","1","postseason","2024-12-27T02:00:00.000Z","false","false","true","false","","6526","Hancock Whitney Stadium","189","Bowling Green","Mid-American","fbs","","","","","","2032","Arkansas State","Sun Belt","fbs","","","","","","","","68 Ventures Bowl"
"401677090","2024","1","postseason","2024-12-27T17:00:00.000Z","false","false","true","false","","3616","Amon G. Carter Stadium","2426","Navy","American Athletic","fbs","","","","","","201","Oklahoma","SEC","fbs","","","","","","","","Lockheed Martin Armed Forces Bowl"
"401677091","2024","1","postseason","2024-12-27T20:30:00.000Z","false","false","true","false","","7221","Protective Stadium","238","Vanderbilt","SEC","fbs","","","","","","59","Georgia Tech","ACC","fbs","","","","","","","","Birmingham Bowl"
"401677092","2024","1","postseason","2024-12-28T00:00:00.000Z","false","false","true","false","","3805","Simmons Bank Liberty Stadium","8","Arkansas","SEC","fbs","","","","","","2641","Texas Tech","Big 12","fbs","","","","","","","","AutoZone Liberty Bowl"
"401729867","2024","1","postseason","2024-12-28T01:00:00.000Z","false","false","true","false","","7311","Snapdragon Stadium","265","Washington State","Pac-12","fbs","","","","","","183","Syracuse","ACC","fbs","","","","","","","","DirecTV Holiday Bowl"
"401677093","2024","1","postseason","2024-12-28T03:30:00.000Z","false","false","true","false","","6501","Allegiant Stadium","30","USC","Big Ten","fbs","","","","","","245","Texas A&M","SEC","fbs","","","","","","","","SRS Distribution Las Vegas Bowl"
"401677094","2024","1","postseason","2024-12-28T16:00:00.000Z","false","false","true","false","","4245","Fenway Park","153","North Carolina","ACC","fbs","","","","","","41","UConn","FBS Independents","fbs","","","","","","","","Wasabi Fenway Bowl"
"401677095","2024","1","postseason","2024-12-28T17:00:00.000Z","false","false","true","false","","4102","Yankee Stadium","158","Nebraska","Big Ten","fbs","","","","","","103","Boston College","ACC","fbs","","","","","","","","Bad Boy Mowers Pinstripe Bowl"
"401677096","2024","1","postseason","2024-12-28T19:15:00.000Z","false","false","true","false","","3971","University Stadium (NM)","2628","TCU","Big 12","fbs","","","","","","309","Louisiana","Sun Belt","fbs","","","","","","","","Isleta New Mexico Bowl"
"401677097","2024","1","postseason","2024-12-28T20:30:00.000Z","false","false","true","false","","4013","Camping World Stadium","2390","Miami","ACC","fbs","","","","","","66","Iowa State","Big 12","fbs","","","","","","","","Pop-Tarts Bowl"
"401677188","2024","1","postseason","2024-12-28T21:30:00.000Z","false","false","true","false","","3619","Arizona Stadium","36","Colorado State","Mountain West","fbs","","","","","","193","Miami (OH)","Mid-American","fbs","","","","","","","","Snoop Dogg Arizona Bowl"
"401677098","2024","1","postseason","2024-12-28T22:45:00.000Z","false","false","true","false","","3852","Navy-Marine Corps Memorial Stadium","152","NC State","ACC","fbs","","","","","","151","East Carolina","American Athletic","fbs","","","","","","","","Go Bowling Military Bowl"
"401677099","2024","1","postseason","2024-12-29T00:30:00.000Z","false","false","true","true","","3604","Alamodome","38","Colorado","Big 12","fbs","","","","","","252","BYU","Big 12","fbs","","","","","","","","Valero Alamo Bowl"
"401677100","2024","1","postseason","2024-12-29T02:15:00.000Z","false","false","true","false","","3766","Independence Stadium","349","Army","American Athletic","fbs","","","","","","276","Marshall","Sun Belt","fbs","","","","","","","","Radiance Technologies Independence Bowl"
"401677101","2024","1","postseason","2024-12-30T19:30:00.000Z","false","false","true","false","","3810","Nissan Stadium","142","Missouri","SEC","fbs","","","","","","2294","Iowa","Big Ten","fbs","","","","","","","","TransPerfect Music City Bowl"
"401677102","2024","1","postseason","2024-12-31T17:00:00.000Z","false","false","true","false","","3886","Raymond James Stadium","130","Michigan","Big Ten","fbs","","","","","","333","Alabama","SEC","fbs","","","","","","","","ReliaQuest Bowl"
"401677190","2024","1","postseason","2024-12-31T19:00:00.000Z","false","false","true","false","","3946","Sun Bowl","264","Washington","Big Ten","fbs","","","","","","97","Louisville","ACC","fbs","","","","","","","","Tony the Tiger Sun Bowl"
"401677103","2024","1","postseason","2024-12-31T20:00:00.000Z","false","false","true","false","","4013","Camping World Stadium","356","Illinois","Big Ten","fbs","","","","","","2579","South Carolina","SEC","fbs","","","","","","","","Cheez-It Citrus Bowl"
"401677104","2024","1","postseason","2024-12-31T20:30:00.000Z","false","false","true","false","","3891","NRG Stadium","99","LSU","SEC","fbs","","","","","","239","Baylor","Big 12","fbs","","","","","","","","Kinder's Texas Bowl"
"401677105","2024","1","postseason","2025-01-03T00:30:00.000Z","false","false","true","false","","3712","EverBank Stadium","145","Ole Miss","SEC","fbs","","","","","","150","Duke","ACC","fbs","","","","","","","","TaxSlayer Gator Bowl"
"401677106","2024","1","postseason","2025-01-03T21:00:00.000Z","false","false","true","false","","3735","Gerald J. Ford Stadium","326","Texas State","Sun Belt","fbs","","","","","","249","North Texas","American Athletic","fbs","","","","","","","","SERVPRO First Responder Bowl"
"401677107","2024","1","postseason","2025-01-04T00:30:00.000Z","false","false","true","false","","3628","Bank of America Stadium","259","Virginia Tech","ACC","fbs","","","","","","135","Minnesota","Big Ten","fbs","","","","","","","","Duke's Mayo Bowl"
"401677108","2024","1","postseason","2025-01-04T16:00:00.000Z","false","false","true","false","","4779","Thomas A. Robinson National Stadium","2335","Liberty","Conference USA","fbs","","","","","","2084","Buffalo","Mid-American","fbs","","","","","","","","Bahamas Bowl"
