"Id","HomeTeam","AwayTeam","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder"
"401677104","LSU","Baylor","Bovada","59.5","-1.5","-1.5","59.5"
"401677104","LSU","Baylor","ESPN Bet","59.5","-1","-2","60.5"
"401677104","LSU","Baylor","DraftKings","59.5","1","",""
"401677103","Illinois","South Carolina","Bovada","48","9.5","11.0","48"
"401677103","Illinois","South Carolina","ESPN Bet","47.5","9.5","10","47.5"
"401677103","Illinois","South Carolina","DraftKings","48","9.5","",""
"401677095","Nebraska","Boston College","Bovada","45.5","-2.5","-3.0","45.5"
"401677095","Nebraska","Boston College","ESPN Bet","45.5","-2.5","-3","45.5"
"401677095","Nebraska","Boston College","DraftKings","45.5","-2.5","","45.5"
"401677094","North Carolina","UConn","Bovada","54.5","-3.0","-5.0","54.5"
"401677094","North Carolina","UConn","ESPN Bet","54.5","-3","-4","55.5"
"401677094","North Carolina","UConn","DraftKings","54.5","-2.5","-5.5",""
"401677093","USC","Texas A&M","Bovada","52","3.5","3.0","52"
"401677093","USC","Texas A&M","ESPN Bet","51.5","-3","2.5","50.5"
"401677093","USC","Texas A&M","DraftKings","52","3.5","","50.5"
"401729867","Washington State","Syracuse","Bovada","62","9.5","6.5","61.5"
"401729867","Washington State","Syracuse","ESPN Bet","61.5","8","6.5","60.5"
"401729867","Washington State","Syracuse","DraftKings","62","8.5","","60.5"
"401677092","Arkansas","Texas Tech","Bovada","60.5","2.5","-3.0","60.5"
"401677092","Arkansas","Texas Tech","ESPN Bet","58.5","3","-2.5","59.5"
"401677092","Arkansas","Texas Tech","DraftKings","59.5","3","-2.5",""
"401677091","Vanderbilt","Georgia Tech","Bovada","51.5","2.5","2.5","51.5"
"401677091","Vanderbilt","Georgia Tech","ESPN Bet","51.5","2.5","2.5","53.5"
"401677091","Vanderbilt","Georgia Tech","DraftKings","51.5","2.5","",""
"401677090","Navy","Oklahoma","ESPN Bet","43.5","8.5","8.5","44.5"
"401677090","Navy","Oklahoma","DraftKings","43.5","8.5","","46.5"
"401677089","Bowling Green","Arkansas State","Bovada","50.5","-7.0","-7.0","50.5"
"401677089","Bowling Green","Arkansas State","ESPN Bet","50.5","-7","-6.5","49.5"
"401677089","Bowling Green","Arkansas State","DraftKings","50.5","-7","-6.5",""
"401677088","Kansas State","Rutgers","Bovada","50.5","-6.5","-7.0","51"
"401677088","Kansas State","Rutgers","ESPN Bet","51.5","-6.5","-7","51.5"
"401677180","Toledo","Pittsburgh","Bovada","51.5","7.5","9.0","51.5"
"401677180","Toledo","Pittsburgh","ESPN Bet","51.5","7","9","51.5"
"401677180","Toledo","Pittsburgh","DraftKings","51.5","7","9.5","51.5"
"401677087","San José State","South Florida","Bovada","62","-4.0","-3.0","61.5"
"401677087","San José State","South Florida","ESPN Bet","62.5","-4","-2.5","62.5"
"401677087","San José State","South Florida","DraftKings","62","-4","-2.5","62.5"
"401677084","Florida","Tulane","Bovada","50","-14.0","-13.0","50.5"
"401677084","Florida","Tulane","ESPN Bet","49.5","-14","-12","51.5"
"401677084","Florida","Tulane","DraftKings","49.5","-14","","49.5"
"401677081","UNLV","California","Bovada","50","1.0","3.5","51.5"
"401677081","UNLV","California","ESPN Bet","48.5","1.5","3","51.5"
"401677081","UNLV","California","DraftKings","49","1","",""
"401677107","Virginia Tech","Minnesota","Bovada","42.5","6.0","5.5","42.5"
"401677107","Virginia Tech","Minnesota","ESPN Bet","42.5","6.5","4.5","42.5"
"401677107","Virginia Tech","Minnesota","DraftKings","42.5","6","",""
"401677106","Texas State","North Texas","Bovada","68","-10.0","-10.0","68"
"401677106","Texas State","North Texas","ESPN Bet","68.5","-10","-7.5","68.5"
"401677106","Texas State","North Texas","DraftKings","68","-10","",""
"401677105","Ole Miss","Duke","Bovada","52.5","-14.5","-14.5","52.5"
"401677105","Ole Miss","Duke","ESPN Bet","52.5","-14.5","-11.5","54.5"
"401677105","Ole Miss","Duke","DraftKings","52.5","-14.5","",""
"401677190","Washington","Louisville","Bovada","49.5","2.5","5.5","52"
"401677190","Washington","Louisville","ESPN Bet","49.5","2.5","4.5","51.5"
"401677190","Washington","Louisville","DraftKings","49.5","2.5","",""
"401677102","Michigan","Alabama","Bovada","43","10.0","10.0","43"
"401677102","Michigan","Alabama","ESPN Bet","42.5","10","11.5","43.5"
"401677102","Michigan","Alabama","DraftKings","43","10","","43.5"
"401677101","Missouri","Iowa","Bovada","40","-3.5","-3.5","40"
"401677101","Missouri","Iowa","ESPN Bet","40.5","-3","-3","40.5"
"401677101","Missouri","Iowa","DraftKings","40","-3","","43.5"
"401677100","Army","Marshall","ESPN Bet","47.5","-16.5","-9","48.5"
"401677100","Army","Marshall","DraftKings","48","-16.5","",""
"401677099","Colorado","BYU","Bovada","54","-3.0","-3.0","54"
"401677099","Colorado","BYU","ESPN Bet","54.5","-3","-2","53.5"
"401677099","Colorado","BYU","DraftKings","54.5","-3","",""
"401677098","NC State","East Carolina","Bovada","58","-5.0","-5.0","58"
"401677098","NC State","East Carolina","ESPN Bet","58.5","-5","-5","59.5"
"401677098","NC State","East Carolina","DraftKings","58.5","-5","",""
"401677188","Colorado State","Miami (OH)","Bovada","42.5","2.5","2.5","43.5"
"401677188","Colorado State","Miami (OH)","ESPN Bet","42.5","3","1.5","43.5"
"401677188","Colorado State","Miami (OH)","DraftKings","42.5","3","","43.5"
"401677097","Miami","Iowa State","Bovada","55","-3.5","-4.0","55"
"401677097","Miami","Iowa State","ESPN Bet","55.5","-4","-1","55.5"
"401677097","Miami","Iowa State","DraftKings","55.5","-3.5","1",""
"401677096","TCU","Louisiana","Bovada","58.5","-12.0","-12.0","60"
"401677096","TCU","Louisiana","ESPN Bet","58.5","-11.5","-10","60.5"
"401677096","TCU","Louisiana","DraftKings","58.5","-12.5","",""
"401677086","Fresno State","Northern Illinois","Bovada","40.5","3.0","3.0","40.5"
"401677086","Fresno State","Northern Illinois","ESPN Bet","39.5","3","2.5","42.5"
"401677086","Fresno State","Northern Illinois","DraftKings","40.5","3","",""
"401677085","UTSA","Coastal Carolina","Bovada","56.5","-8.5","-8.0","57"
"401677085","UTSA","Coastal Carolina","ESPN Bet","55.5","-8.5","-6.5","56.5"
"401677085","UTSA","Coastal Carolina","DraftKings","56","-8.5","","57.5"
"401677177","Ohio State","Tennessee","ESPN Bet","47.5","-7","-7.5","47.5"
"401677177","Ohio State","Tennessee","Bovada","46.5","-7.0","-7.0","48"
"401677177","Ohio State","Tennessee","DraftKings","47","-7.5","",""
"401677176","Texas","Clemson","ESPN Bet","51.5","-11","-11","51.5"
"401677176","Texas","Clemson","Bovada","51.5","-11.0","-10.5","52"
"401677176","Texas","Clemson","DraftKings","51.5","-11","","52.5"
"401677178","Penn State","SMU","ESPN Bet","53.5","-8.5","-9","53.5"
"401677178","Penn State","SMU","Bovada","54","-8.0","-9.0","53"
"401677178","Penn State","SMU","DraftKings","54","-8.5","","53"
"401677179","Notre Dame","Indiana","ESPN Bet","51.5","-7.5","-7.5","50.5"
"401677179","Notre Dame","Indiana","DraftKings","51.5","-7.5","",""
"401677179","Notre Dame","Indiana","Bovada","51","-7.5","-7.5","50.5"
"401677083","Jacksonville State","Ohio","Bovada","54","3.0","2.0","54"
"401677083","Jacksonville State","Ohio","ESPN Bet","54.5","3","2","53.5"
"401677083","Jacksonville State","Ohio","DraftKings","54","3","2.5","52"
"401677082","Sam Houston","Georgia Southern","Bovada","48","5.5","6.0","47"
"401677082","Sam Houston","Georgia Southern","ESPN Bet","48.5","6","5.5","46.5"
"401677082","Sam Houston","Georgia Southern","DraftKings","48.5","6","",""
"401677079","James Madison","Western Kentucky","Bovada","52","-9.5","-8.0","52.5"
"401677079","James Madison","Western Kentucky","ESPN Bet","52.5","-9.5","-7","53.5"
"401677079","James Madison","Western Kentucky","DraftKings","52.5","-9","",""
"401677076","South Carolina State","Jackson State","ESPN Bet","53.5","-2.5","1.5","54.5"
"401677108","Liberty","Buffalo","Bovada","52","-1.5","-2.5","52.5"
"401677108","Liberty","Buffalo","ESPN Bet","52.5","-1.5","-2","51.5"
"401677108","Liberty","Buffalo","DraftKings","52","-1","-2.5","51.5"
"401677080","West Virginia","Memphis","Bovada","58.5","4.5","3.0","56.5"
"401677080","West Virginia","Memphis","ESPN Bet","58.5","4.5","1.5","56.5"
"401677080","West Virginia","Memphis","DraftKings","59","5","2",""
"401677077","Western Michigan","South Alabama","Bovada","57.5","8.0","7.0","57"
"401677077","Western Michigan","South Alabama","ESPN Bet","57.5","9","8.5","59.5"
"401677077","Western Michigan","South Alabama","DraftKings","57.5","9","10",""
